conditions,cond_str,rebalance_days,top_n,total_ret,annual_ret,sharpe,sortino,win_rate,max_drawdown,n_trades,avg_ret
"[('vol_ratio', '>', 0.8), ('vol_ratio_5', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio_5 > 1.0,30,20,11.15188473725927,2.0203494725047864,4.617960402389435,0.0,0.9166666666666666,0.0,12,0.2405177943458079
"[('vol_ratio_5', '>', 1.0)]",vol_ratio_5 > 1.0,20,30,25.66432109906606,2.655263119112323,4.581938239628901,0.0,0.9444444444444444,0.0,18,0.2107351681835177
"[('vol_ratio', '>', 0.8), ('volatility', '>', 0.03)]",vol_ratio > 0.8 AND volatility > 0.03,20,20,34.213944601681895,2.9284768940100205,4.526129779402279,0.0,0.9444444444444444,0.0,18,0.2324188011119064
"[('volatility', '>', 0.03)]",volatility > 0.03,30,20,20.376579973659975,2.5719554866724024,4.5046569492906565,0.0,0.9166666666666666,0.0,12,0.3061851769848098
"[('vol_ratio', '>', 0.8), ('vol_ratio', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio > 1.0,20,30,21.7243609270843,2.5173102167168224,4.41333312276193,0.0,0.9444444444444444,0.0,18,0.19978652513625575
"[('vol_ratio', '>', 1.0)]",vol_ratio > 1.0,20,30,21.7243609270843,2.5173102167168224,4.41333312276193,0.0,0.9444444444444444,0.0,18,0.19978652513625575
"[('vol_ratio', '>', 0.8), ('volatility', '>', 0.03)]",vol_ratio > 0.8 AND volatility > 0.03,15,30,45.71657140952486,3.133979416769277,4.375122037241803,0.0,0.9583333333333334,0.0,24,0.1865463938553141
"[('bb_position', '<', 0.5)]",bb_position < 0.5,30,30,6.789630479735109,1.7963783125743586,4.3025868154843385,0.0,0.9090909090909091,0.0,11,0.21385456102075698
"[('vol_ratio', '>', 0.8), ('vol_ratio_5', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio_5 > 1.0,20,30,21.88163339486148,2.532938940207017,4.28819120119263,0.0,0.9444444444444444,0.0,18,0.20102690001642992
"[('vol_ratio', '>', 0.8), ('vol_ratio', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio > 1.0,30,20,13.322932288925886,2.190986430146001,4.277832360193219,0.0,0.9166666666666666,0.0,12,0.2608317178745239
"[('vol_ratio', '>', 1.0)]",vol_ratio > 1.0,30,20,13.322932288925886,2.190986430146001,4.277832360193219,0.0,0.9166666666666666,0.0,12,0.2608317178745239
"[('vol_ratio', '>', 0.8), ('vol_ratio_5', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio_5 > 1.0,30,30,7.144983850897631,1.6708880969630575,4.191910144939846,0.0,0.9166666666666666,0.0,12,0.19891524963845922
"[('volatility', '>', 0.03)]",volatility > 0.03,30,30,12.265186100821932,2.1354159943702027,4.064251401905063,0.0,0.9166666666666666,0.0,12,0.2542161898059765
"[('vol_ratio', '>', 0.8), ('volatility', '>', 0.03)]",vol_ratio > 0.8 AND volatility > 0.03,30,10,26.306107634021252,2.8578135296801532,3.9681839549396734,0.0,0.9166666666666666,0.0,12,0.34021589639049443
"[('vol_ratio', '>', 0.8), ('volatility', '>', 0.03)]",vol_ratio > 0.8 AND volatility > 0.03,20,30,16.41189704068125,2.324810873505055,3.8560349019724196,0.0,0.9444444444444444,0.0,18,0.1845087994845282
"[('vol_ratio', '>', 0.8), ('vol_ratio', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio > 1.0,30,30,8.193617726209725,1.7972023303892815,3.827052563464841,0.0,0.9166666666666666,0.0,12,0.21395265837967636
"[('vol_ratio', '>', 1.0)]",vol_ratio > 1.0,30,30,8.193617726209725,1.7972023303892815,3.827052563464841,0.0,0.9166666666666666,0.0,12,0.21395265837967636
"[('vol_ratio', '>', 0.8), ('volatility', '>', 0.03)]",vol_ratio > 0.8 AND volatility > 0.03,30,20,10.221010188933285,2.029982014683487,3.2919580608215524,0.0,0.9166666666666666,0.0,12,0.24166452555755794
"[('vol_ratio', '>', 0.8), ('volatility', '>', 0.03)]",vol_ratio > 0.8 AND volatility > 0.03,30,30,5.66814965182278,1.5793876545670373,2.761387860037546,0.0,0.9166666666666666,0.0,12,0.1880223398294092
